_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
931,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,Griffith University,Southport,4215.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Get Wet Surf School,Labrador,4215.0,N/A,2016-05-17,Gold Coast (C),Gold Coast,Bonney,10800
932,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Bioproton Pty Ltd,Acacia Ridge,4110.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,10800
933,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Epi Capital Pty Ltd,Fortitude Valley,4006.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
934,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Truii Pty Ltd,Highgate Hill,4101.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
935,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - The Corporations Professional Ecosystems Pty Ltd,Tingalpa,4173.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,9000
936,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,James Cook University,Douglas (Townsville),4814.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Townsville Engineering Industries Pty Ltd,Bohle,4818.0,N/A,2015-12-03,Townsville (C),Townsville,Mundingburra,10800
937,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Statcom Solutions Pty Ltd,Herston,4006.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
938,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Redeye Apps Pty Ltd,Brisbane City,4000.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
939,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Immersaview Pty Ltd,Banyo,4014.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
940,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Hear And Say - Centre For Deaf Children,Ashgrove,4060.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
941,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Nitestar Pty Ltd Atf Bob Dean Trust,Bundall,4217.0,N/A,2015-12-03,Brisbane (C),Gold Coast,Mcconnel,10800
942,Life Sciences Queensland,Industry And Sectoral Project 2015-16 Round 1,Life Sciences Queensland Limited,Toowong,4066.0,,,Lsq Project Delivery 2016-2020,Toowong,4066.0,,2016-02-15,Brisbane (C),Brisbane And Redlands,Maiwar,1860000
943,Life Sciences Queensland,,Life Sciences Queensland Limited,Toowong,4066.0,,,Life Sciences Queensland Project Delivery From 1 April 2020 To 31 March 2021,Toowong,4066.0,,2020-01-14,Brisbane (C),Brisbane And Redlands,Maiwar,450000
944,Life Sciences Queensland - Catalyst,,Life Sciences Queensland Limited,Toowong,4066.0,,,Delivery Of The Life Sciences Catalyst Program,Toowong,4066.0,,2018-06-01,Brisbane (C),Brisbane And Redlands,Maiwar,600000
945,Mit Bootcamp,,Queensland University Of Technology,Brisbane City,4000.0,,Qut And Mit,Massachusetts Institute Of Technology (Mit) Global Entrepreneur Bootcamp,Brisbane City,4000.0,,2016-09-29,Brisbane (C),Brisbane,Mcconnel,900000
946,Mit Regional Entrepreneurship Acceleration Program,,Queensland University Of Technology,Brisbane City,4000.0,,,Massachusetts Institute Of Technology (Mit) Regional Entrepreneurship Acceleration Program,"Boston,Usa",,"Brisbane, Cambridge (Usa)",2017-05-23,Brisbane (C),Nonqueensland,Mcconnel,205000
947,Mackay Clinical Trials,,Coral Sea Clinical Research Institute Pty Ltd,North Mackay,4740.0,,,Mackay Clinical Trials Research Institute,North Mackay,4740.0,,2018-07-30,Mackay (R),Mackay-Whitsunday,Mackay,200000
948,Mental Health Services For Founders,,Australian Computer Society Incorporated T/A River City Labs,Fortitude Valley,4006.0,,,Mental Health For Founders,Fortitude Valley,4006.0,,2020-06-04,Brisbane (C),Brisbane And Redlands,Mcconnel,52499
949,Open Innovation Challenge,Round 1,Queensland Xr Hub Pty Ltd,Fortitude Valley,4006.0,,Microsoft Pty Ltd  Boeing Defence Australia Ltd,Aerospace Xelerated Pitch Challenge,Fortitude Valley,4006.0,,2022-03-18,Brisbane (C),Brisbane And Redlands,Mcconnel,40000
950,Open Innovation Challenge,Round 1,Mater Education Ltd,Newstead,4006.0,,,Immersive Learning At Mater Education,Newstead,4006.0,Rockhampton,2022-03-16,Brisbane (C),Brisbane And Redlands,Mcconnel,40000
951,Open Innovation Challenge,Round 1,Start-Up Gladstone Inc,Gladstone,4680.0,,,Blueprint Accelerator: Here For Gladstone - Here For Innovation (Innov8Ors),Gladstone,4680.0,,2020-09-03,Gladstone (R),Central Queensland,Gladstone,74000
952,Open Innovation Challenge,Round 1,The Queensland Xr Hub Pty Ltd,Fortitude Valley,4006.0,,,Immersive Technologies Corporate Innovation Partnership,Fortitude Valley,4006.0,,2022-09-02,Brisbane (C),Brisbane And Redlands,Mcconnel,150000
953,Orange Sky - Campfire,,Orange Sky Australia Limited,Albion,4010.0,,,Campfire,Caboolture,4510.0,"215 Walker St, Townsville Qld 4810",2020-07-08,Brisbane (C),Moreton Bay,Clayfield,120000
954,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,,Department Of Agriculture And Fisheries,"Manipulating Sorghum Grain Size, Grain Number And Grain Quality - Basam Tabet",St Lucia,4067.0,Gatton  /  Warwick,2017-02-13,Brisbane (C),Brisbane And Redlands,Maiwar,42500
955,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,,Children'S Health Queensland Hospital And Health Service - Master,"“Cyfit"" - Outpatient Telerehabilitation Management For Queensland Children With Cystic Fibrosis - Lei (Ray) Lang",South Brisbane,4101.0,N/A,2017-02-13,Brisbane (C),Brisbane And Redlands,Maiwar,42500
956,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,University Of Southern Queensland,Darling Heights (Toowoomba),4350.0,,Mbd Energy Limtited,Queensland-Grown Algae As Functional Foods For Obesity - Jessica Pahl,Darling Heights,4350.0,Townsville,2017-02-13,Toowoomba (R),Darling Downs,Toowoomba South,42500
957,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,,Em Solutions,Planar Reconfigurable Antennas For On-The-Move Satellite Communications - Erin Oliver,Tennyson,4105.0,,2017-02-13,Brisbane (C),Brisbane And Redlands,Maiwar,15000
958,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,,Commonwealth Scientific And Industrial Research Organisation (Csiro),Multi-Objective Optimisation And Multi-Agent Learning For Iot Devices - Llewyn Salt,Pullenvale,4069.0,N/A,2017-02-13,Brisbane (C),Brisbane And Redlands,Maiwar,13032
959,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,University Of Southern Queensland,Darling Heights (Toowoomba),4350.0,,Hyne Timber,Development Of Sustainable Building Technologies From Low Grade Timber - Rebecca Cherry,Ferney,4650.0,Maryborough,2017-02-13,Toowoomba (R),Wide Bay,Toowoomba South,40000
960,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,University Of Southern Queensland,Springfield Central,4300.0,,Cancer Council Queensland,Improving Quality Of Life And Outcomes For Regional Cancer Patients - Arlen Rowe,Springfield Central,4300.0,Townsville  /  Toowoomba  /  Rockhampton  /  Cairns,2017-02-13,Ipswich (C),Ipswich,Jordan,45000
961,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Development Of A 'Smart' Heart Assist Device - Eric Wu,Chermside,4032.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Maiwar,45000
962,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Up-Scaling The Production Of Novel Agricultural Enzymes To Industrial Scale - Alastair Robertson,Brisbane City,4000.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Mcconnel,9889
963,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,University Of Southern Queensland,Darling Heights (Toowoomba),4350.0,,Department Of Agriculture And Fisheries,Developing Automated Approaches To The Parametrisation Of Biophysical Crop Models - David Johnston,Toowoomba City,4350.0,N/A,2017-02-13,Toowoomba (R),Darling Downs,Toowoomba South,42500
964,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,Qimr Berghofer Medical Research Institute,Herston,4006.0,,,Hospital Environments And The Spread Of Cough Aerosols - Rebecca Stockwell,Herston,4006.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Mcconnel,45000
965,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,Queensland University Of Technology,Kelvin Grove,4059.0,,,Role Of Antidepressants In Cancer Risk And Treatment Outcomes - Saira Sanjida,Kelvin Grove,4059.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Mcconnel,45000
966,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Sense Of Safety': A New Way To See Mental Health? - Johanna Lynch,Birkdale,4159.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Maiwar,45000
967,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Pastures As Tools For Pest Suppression - Rebecca Nagy (Garrad),Dutton Park,4102.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Maiwar,42000
968,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Breathing Fire: Understanding The Meteorology Of Pyro-Convection In Bushfires - Nicholas Mccarthy,Melbourne,3208.0,N/A,2016-01-28,Brisbane (C),Nonqueensland,Maiwar,45000
969,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,Queensland University Of Technology,Kelvin Grove,4059.0,,,Advanced 3D Biofabrication Approaches For The Treatment Of Microtia - Rena Louise Cruz,Brisbane City,4000.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Mcconnel,45000
970,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,James Cook University,Douglas (Townsville),4814.0,,,Microbial Indicators For Water Quality And Environmental Stress Assessment - Bettina Glasl,Douglas,4814.0,N/A,2016-01-28,Townsville (C),Townsville,Mundingburra,45000
971,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,James Cook University,Smithfield,4878.0,,,Impacts Of Long-Term Marine Resource Use On The Gbr - Miss Samantha Aird,Smithfield,4878.0,N/A,2016-01-28,Cairns (R),Far North Queensland,Barron River,42000
972,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,Griffith University,Nathan,4111.0,,,New Prophylactic Drugs For Malaria - Megan Arnold,Nathan,4111.0,N/A,2016-01-28,Brisbane (C),Brisbane And Redlands,Toohey,7691
973,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,,Newstead Brewing Pty Ltd,Systems Biology Of Beer: Genomics And Proteomics For Brewing Biochemistry - Edward Kerr,St Lucia,4067.0,N/A,2017-02-13,Brisbane (C),Brisbane And Redlands,Maiwar,42500
974,Phd Scholarships,Aq Phd Scholarships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814.0,,Mainstream Aquaculture Pty Ltd,Development Of Advanced Reproductive Techniques To Characterize Infertility In Barramundi - Adrien Marc,Douglas,4814.0,N/A,2017-02-13,Townsville (C),Townsville,Mundingburra,42500
975,Phd Scholarships,Aq Phd Scholarships 2015-16 Round 1,Griffith University,Southport,4215.0,,,The Association Between Diet And Inflammation In Chronic Fatigue Syndrome - Nadia Campagnolo,Southport,4215.0,N/A,2016-01-28,Gold Coast (C),Gold Coast,Bonney,6858
976,Platform Technology Program,Round 1,Boeing Defence Australia Ltd,Brisbane City,4000.0,,Qgc Pty Limited  Telstra Corporation Limited,Innovation Program To Develop Broad-Area Uas Operations,Brisbane City,4000.0,,2016-05-14,Brisbane (C),Brisbane And Redlands,Mcconnel,1000000
977,Platform Technology Program,Aq Platform Technology Program 2016-17 Round 1,Boeing Defence Australia Ltd,Brisbane City,4000.0,,The Partners Will Be Selected Post-Funding Award (See Details Below In Section On Partner Relationships).,Advanced Autonomy Platform Technologies – Tier 1 Of 3,Brisbane City,4000.0,,2018-02-02,Brisbane (C),Brisbane And Redlands,Mcconnel,9000000
978,Platform Technology Program,Aq Platform Technology Program 2016-17 Round 1,Redback Operations Pty Ltd,Indooroopilly,4068.0,,Energy Queensland Limited  University Of Queensland  Springfield City Group Pty Limited  Redback Operations Pty Ltd,Redback Smart Monitoring Platform,Indooroopilly,4068.0,,2017-09-28,Brisbane (C),Brisbane And Redlands,Maiwar,3807672
979,Platform Technology Program,Aq Platform Technology Program 2016-17 Round 1,Datarwe Pty Ltd,Southport,4215.0,,Smart Ai Connect Pty Ltd  Eliiza Pty Ltd  Bitq Pty Ltd  Amazon Web Services Australia Pty Ltd  Intellihq Group Limited  Alive Technologies Pty Ltd  K J Ross And Associates Pty Ltd  Techconnect Software Services Pty Ltd  Ge Healthcare Australia Pty Limited  Intel Australia Pty Ltd  Griffith University  Augmented Intelligence Pty Ltd,Precision Medicine Data Platform,Southport,4215.0,,2019-05-21,Gold Coast (C),Gold Coast,Bonney,1500000
980,Private Sector Pathways Program,Psp - Mater Education - Diploma Of Nursing Round - 2022,Cpd Central Pty Ltd,Southport,4215.0,,Mater Education Ltd,Improving Student Retention And Engagement With Integrated & Innovative Education Delivery,Southport,4215.0,"Onsite @ Mater Education & At Any Practical Locations Such As An Aged Care Facility & 38 Alison Street, Carrara",2022-11-22,Gold Coast (C),Gold Coast,Bonney,47345
981,Qcn Fibre Regional Pilot Program,Round 1,Queensland Capacity Network Pty Ltd,Fortitude Valley,4006.0,,,Qcn Pilots Project,Fortitude Valley,4006.0,"Toowoomba, Warwick And Goondiwindi",2020-03-11,Brisbane (C),Brisbane And Redlands,Mcconnel,197000
982,Qcn Fibre Conneciton To North Queensland Regional Data Centre,Round 1,Townsville City Council,Townsville City,4810.0,,,Delivery Of Townsville Point Of Interconnect (Poi),Garbutt,4814.0,,2019-11-27,Townsville (C),Townsville,Townsville,350000
983,Qihub,,Starred Pty Ltd,Coogee,2034.0,,,Qi Hub,,,,2020-05-12,Nonqueensland,Statewide,Nonqueensland,52000
984,Queensland Connects,Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Queensland Connects - Qut,Brisbane City,4000.0,,2020-03-12,Brisbane (C),Brisbane And Redlands,Mcconnel,250000
985,Queensland Connects,Round 1,Greater Whitsunday Alliance Limited,Mackay,4740.0,,,Queensland Connects - Mackay,Mackay,4740.0,,2020-02-04,Mackay (R),Mackay-Whitsunday,Mackay,100000
986,Queensland Connects,Round 1,Toowoomba And Surat Basin Enterprise Pty Ltd,Toowoomba City,4350.0,,,Queensland Connects - Toowoomba,Toowoomba City,4350.0,,2020-04-09,Toowoomba (R),Darling Downs,Toowoomba North,52668
987,Queensland Connects,Round 1,Central Queensland University,Gladstone Central,4680.0,,,Queensland Connects - Gladstone,Gladstone Central,4680.0,,2020-04-09,Gladstone (R),Central Queensland,Gladstone,96190
988,Queensland Emory Drug Discovery Initiative,Queensland Emory Drug Discovery Initiative,The University Of Queensland,St Lucia,4067.0,,Emory University,Operation Of The Queensland Emory Drug Discovery Initiative (Qeddi),St Lucia,4067.0,N/A,2015-09-25,Brisbane (C),Brisbane And Redlands,Maiwar,4169000
989,Queensland Future Skills Project,Round 1,Tafe Queensland,South Brisbane,4101.0,,,Queensland Future Skill Partnership Project,South Brisbane,4101.0,Mackay And State-Wide Online Courses,2021-02-22,Brisbane (C),Brisbane And Redlands,South Brisbane,157440
990,Queensland Startup Events And Activities Fund,Round 15 2016-17,Red Ridge (Interior Queensland) Limited,Blackall,4472.0,,Central Western Queensland Remote Area Planning And Development Board (Cwqrapad)- Nfp,Startup Weekend Outback,Blackall,4472.0,,2017-07-31,Blackall-Tambo (R),Outback Queensland,Gregory,24219
991,Queensland Startup Events And Activities Fund,Round 15 2016-17,Regional Development Australia (Rda) Brisbane Incorporated,Greenslopes,4120.0,,"Career Employment Australia,  Brisbane City Council & Brisbane Marketing, Tafe Queensland Small Business Solutions",Business And Entrepreneurial Skills Development For Seq Startups,Greenslopes,4120.0,,2017-07-03,Brisbane (C),Brisbane,Greenslopes,22335
992,Queensland Startup Events And Activities Fund,Round 15 2016-17,Queensland Music Network Incorporated,Fortitude Valley,4006.0,,"Myriad , Qut Cea, River City Labs",Bigsound Music Tech Mentoring And Showcase Program,Fortitude Valley,4006.0,,2017-07-03,Brisbane (C),Brisbane,Mcconnel,13095
993,Queensland Startup Events And Activities Fund,Round 14 2016-17,Rotary Club Of Ipswich City,Ipswich,4305.0,,"Rotary Club Of Ipswich City Incorporated, Random Hacks Of Kindness (Rhok) Australia, Fire Station 101 Innovation Hub","Random Hacks Of Kindness (Rhok) Ipswich, Winter '17 Hackathon",Ipswich,4305.0,,2017-05-30,Ipswich (C),Ipswich,Ipswich,8270
994,Queensland Startup Events And Activities Fund,Round 15 2016-17,Carotid Pty Ltd,Waugh Pocket,4871.0,,"The Entourage, Chamber Of Commerce And Industry Queensland, The Young Entrepreneurs Project, Cairns Regional Council",The Cairns Entrepreneur'S Unconvention,Waugh Pocket,4871.0,,2017-07-12,Cairns (R),Far North Queensland,Hill,25000
995,Queensland Startup Events And Activities Fund,Round 14 2016-17,Cape York Institute,Cairns,4870.0,,Thespace,Money Matters Hack-A-Day,Cairns,4870.0,,2017-05-30,Cairns (R),Far North Queensland,Cairns,3500
996,Queensland Startup Events And Activities Fund,Round 1 2017-18,Transition Level Investments Pty Ltd,Fortitude Valley,4006.0,,"River City Labs, The Kinetic Agency, Soak Creative, Females In Food",Talking Shop: The 'F' Word Masterclass Series 2017,Fortitude Valley,4006.0,,2017-07-31,Brisbane (C),Brisbane,Mcconnel,8384
